,country,region_1,variety,points_median,location,address,point,latitude,longitude,altitude
856,Spain,Almansa,White Blend,88.0,"Almansa, Spain","Almansa, Albacete, Castilla-La Mancha, 02640, España","(38.8682065, -1.0978627, 0.0)",38.8682065,-1.0978627,0.0
857,Spain,Arribes del Duero,Tempranillo,89.0,"Arribes del Duero, Spain","Arribes del Duero, 11, Avinguda de la Generalitat, Santa Coloma de Gramenet, Barcelonès, Barcelona, Catalunya, 08922, España","(41.44974, 2.210299, 0.0)",41.44974,2.210299,0.0
858,Spain,Bierzo,White Blend,89.0,"Bierzo, Spain","El Bierzo, Ponferrada, Castilla y León, España","(42.65265025, -6.62318404217132, 0.0)",42.65265025,-6.62318404217132,0.0
859,Spain,Bizkaiko Txakolina,White Blend,87.5,"Bizkaiko Txakolina, Spain","Txakolina Ameztoy, 102, Autopista del Cantábrico / Kantauriko Autobidea, Hiruerreketa, Zarautz, Urola-Kosta, Gipuzkoa, Euskadi, 20800, España","(43.2811054, -2.1793064, 0.0)",43.2811054,-2.1793064,0.0
860,Spain,Bullas,Monastrell,86.0,"Bullas, Spain","Bullas, Noroeste, Región de Murcia, 30180, España","(38.0497852, -1.6703391, 0.0)",38.0497852,-1.6703391,0.0
861,Spain,Calatayud,Tempranillo,86.0,"Calatayud, Spain","Calatayud, Comunidad de Calatayud, Zaragoza, Aragón, 50300, España","(41.3527628, -1.6422977, 0.0)",41.3527628,-1.6422977,0.0
862,Spain,Campo de Borja,White Blend,91.0,"Campo de Borja, Spain","Campo de Borja, Zaragoza, Aragón, España","(41.78654145, -1.5058322706803928, 0.0)",41.78654145,-1.5058322706803928,0.0
863,Spain,Cariñena,White Blend,89.0,"Cariñena, Spain","Cariñena, Campo de Cariñena, Zaragoza, Aragón, 50400, España","(41.3377248, -1.2248826, 0.0)",41.3377248,-1.2248826,0.0
864,Spain,Castilla La Mancha,Sauvignon Blanc-Verdejo,84.0,"Castilla La Mancha, Spain","Castilla-La Mancha, España","(39.4177902, -2.6232332, 0.0)",39.4177902,-2.6232332,0.0
865,Spain,Catalonia,White Blend,87.0,"Catalonia, Spain","Catalunya, España","(41.8523094, 1.5745043, 0.0)",41.8523094,1.5745043,0.0
866,Spain,Catalunya,Xarel-lo,89.0,"Catalunya, Spain","Catalunya, España","(41.8523094, 1.5745043, 0.0)",41.8523094,1.5745043,0.0
